,debtRatio,returnOnAssets,priceBookValueRatio,priceToFreeCashFlowsRatio,priceEarningsRatio,priceEarningsToGrowthRatio,debtEquityRatio,cluster,Date,Symbol,Annual_Return,Sharpe Ratio
19,0.3065691846916403,0.022586922853902118,-0.7282806865244996,0.8493530873497869,6.340801452464237,-0.9032672692320645,-0.25334230657552814,7,2011-12-31,AHT,-0.11551869637371569,-0.19608072684133473
48,-1.0798380801783771,0.9302168955220628,2.766899645502841,0.11577125706918492,0.17721589799597356,0.03743440839655263,-0.6957167255941686,6,2011-12-31,ASPS,0.8633355860706567,2.6947149084781183
213,0.7419024367673278,0.03238028002735327,-0.5857364998270911,-0.040439064179011636,0.527930293513489,-0.11736287258908808,0.34746324425585723,2,2011-12-31,FFNW,0.4750000000000001,1.1276075714604297
282,-1.2196027383095154,0.14995003518598252,0.6278340324425425,0.6402791298058989,1.7586893438445796,0.16663322568325167,-0.7131897594747638,0,2011-12-31,HSTM,1.365900260313145,1.5705153704578818
334,6.618758750268057,-11.62738286783317,-3.183150697219546,0.2930613599411653,-0.6672500108714113,-0.057486546276314276,-1.1489250686910484,3,2011-06-30,LFVN,2.864864864864865,1.673510751311963
470,-0.8397972996006466,0.5763067730034495,1.6538737282995077,0.2610797001147195,0.19383287293459764,0.052073831806155324,-0.6603552486582361,1,2011-12-31,RGR,1.3518165779873905,1.7881401901322116
495,-0.3006743955899162,0.19916699462504633,-0.09002752106241416,-4.731109833379148,-0.021153814245906243,0.012128067648654877,-0.542025771527779,5,2011-06-30,SCSC,0.11317254174397019,0.26993704268402446
586,-1.0124454079233294,0.39416174027533946,0.6712492542128055,0.32837421268725403,0.1813481838421436,-9.99356067087639,-0.6865333329076262,4,2011-08-31,WDFC,-0.010528893241919853,-0.033763208948593464
