,debtRatio,returnOnAssets,priceBookValueRatio,priceToFreeCashFlowsRatio,priceEarningsRatio,priceEarningsToGrowthRatio,debtEquityRatio,cluster,Date,Symbol,Annual_Return,Sharpe Ratio
153,0.018125655891396697,0.01389228377717957,-0.023685458838545295,-0.020892725509279092,3.274641636524807,-0.3948620298642731,-0.3923873926298718,5,2010-12-31,CVI,1.0430683012259194,1.751126938378131
388,0.2974327282490852,0.09877173436877956,0.2147922361456071,0.1890218702690464,0.7114804400402003,-0.13528444308480958,-0.25370454340154386,0,2010-12-31,NNBR,2.1370558375634516,2.0870299678296593
496,-0.1217017027444525,-5.055580612265365,13.980957325106273,-1.1953339216709624,-1.3070126894541603,-0.21571620658077523,-0.4412539546371785,3,2010-12-31,SIGA,1.3026315789473684,1.4281080678265494
574,0.2660218119421869,0.28653729515105913,1.2589597300978983,0.10623529059679256,0.5533030303851076,-0.11212735537136877,-0.2730634622013625,2,2010-12-31,VRTS,1.7265624999999998,2.549741445053283
585,-0.05701050586206235,-2.283082880029699,0.772628215304785,-0.5638976273406199,-0.7368913506893661,0.24805978408428087,-0.4199035666570277,4,2010-12-31,WNC,5.139896373056995,2.173627454804469
591,0.9986459438956079,-0.008488188384359564,-0.36301830283910486,-0.03602059025495109,0.44882951447931063,-0.07211526598191585,1.252025524030035,1,2010-12-31,WSFS,0.8295410721172388,1.9519365998439806
